Athlete,Age,Country,Year,Date,Sport,Gold,Silver,Bronze
Agata Wróbel,22,Poland,2004,29/08/2004,Weightlifting,0,0,1
Wu Meijin,24,China,2004,29/08/2004,Weightlifting,0,1,0
Nataliya Zabolotnaya,19,Russia,2004,29/08/2004,Weightlifting,0,1,0
Zhang Guozheng,29,China,2004,29/08/2004,Weightlifting,1,0,0
Giorgi Asanidze,25,Georgia,2000,1/10/00,Weightlifting,0,0,1
Galabin Boevski,25,Bulgaria,2000,1/10/00,Weightlifting,1,0,0
Andrey Chemerkin,28,Russia,2000,1/10/00,Weightlifting,0,0,1
Chen Xiaomin,23,China,2000,1/10/00,Weightlifting,1,0,0
Pyrros Dimas,28,Greece,2000,1/10/00,Weightlifting,1,0,0
Ding Meiyuan,20,China,2000,1/10/00,Weightlifting,1,0,0
Cheryl Haworth,17,United States,2000,1/10/00,Weightlifting,0,0,1
Marc Huster,30,Germany,2000,1/10/00,Weightlifting,0,1,0
Sri Indriyani,21,Indonesia,2000,1/10/00,Weightlifting,0,0,1
Soraya Jiménez,23,Mexico,2000,1/10/00,Weightlifting,1,0,0
Akakios Kakiasvili,31,Greece,2000,1/10/00,Weightlifting,1,0,0
Ioanna Khatziioannou,26,Greece,2000,1/10/00,Weightlifting,0,0,1
Szymon Kolecki,18,Poland,2000,1/10/00,Weightlifting,0,1,0
Kuo Yi-Hang,25,Chinese Taipei,2000,1/10/00,Weightlifting,0,0,1
Sergey Lavrenov,28,Belarus,2000,1/10/00,Weightlifting,0,0,1
Li Feng-Ying,25,Chinese Taipei,2000,1/10/00,Weightlifting,0,1,0
Lin Weining,21,China,2000,1/10/00,Weightlifting,1,0,0
Karnam Malleswari,25,India,2000,1/10/00,Weightlifting,0,0,1
Georgi Markov,22,Bulgaria,2000,1/10/00,Weightlifting,0,1,0
Erzsébet Márkus-Peresztegi,31,Hungary,2000,1/10/00,Weightlifting,0,1,0
Arsen Melikyan,24,Armenia,2000,1/10/00,Weightlifting,0,0,1
Viktor Mitrou,27,Greece,2000,1/10/00,Weightlifting,0,1,0
Halil Mutlu,27,Turkey,2000,1/10/00,Weightlifting,1,0,0
Tara Nott-Cunningham,28,United States,2000,1/10/00,Weightlifting,1,0,0
Ruth Ogbeifo,28,Nigeria,2000,1/10/00,Weightlifting,0,1,0
Gennady Oleshchuk,24,Belarus,2000,1/10/00,Weightlifting,0,0,1
Nikolay Peshalov,30,Croatia,2000,1/10/00,Weightlifting,1,0,0
Aleksey Petrov,26,Russia,2000,1/10/00,Weightlifting,0,0,1
Valentina Popova,27,Russia,2000,1/10/00,Weightlifting,0,1,0
Hossein Reza Zadeh,22,Iran,2000,1/10/00,Weightlifting,1,0,0
Ri Song-Hui,21,North Korea,2000,1/10/00,Weightlifting,0,1,0
Raema Lisa Rumbewas,19,Indonesia,2000,1/10/00,Weightlifting,0,1,0
Leonidas Sabanis,28,Greece,2000,1/10/00,Weightlifting,0,1,0
Asaad Said Saif,21,Qatar,2000,1/10/00,Weightlifting,0,0,1
Winarni Binti Slamet,24,Indonesia,2000,1/10/00,Weightlifting,0,0,1
Khassaraporn Suta,28,Thailand,2000,1/10/00,Weightlifting,0,0,1
Hossein Tavakoli,22,Iran,2000,1/10/00,Weightlifting,1,0,0
Alan Tsagaev,23,Bulgaria,2000,1/10/00,Weightlifting,0,1,0
María Isabel Urrutia,35,Colombia,2000,1/10/00,Weightlifting,1,0,0
Ronny Weller,31,Germany,2000,1/10/00,Weightlifting,0,1,0
Agata Wróbel,19,Poland,2000,1/10/00,Weightlifting,0,1,0
Wu Wenxiong,19,China,2000,1/10/00,Weightlifting,0,1,0
Yang Xia,22,China,2000,1/10/00,Weightlifting,1,0,0
Zhan Xugang,26,China,2000,1/10/00,Weightlifting,1,0,0
Zhang Xiangxiang,17,China,2000,1/10/00,Weightlifting,0,0,1
Matteo Aicardi,26,Italy,2012,12/8/12,Waterpolo,0,1,0
Milan Aleksic,26,Serbia,2012,12/8/12,Waterpolo,0,0,1
Betsey Armstrong,29,United States,2012,12/8/12,Waterpolo,1,0,0
Marta Bach,19,Spain,2012,12/8/12,Waterpolo,0,1,0
Samir Barac,38,Croatia,2012,12/8/12,Waterpolo,1,0,0
Gemma Beadsworth,25,Australia,2012,12/8/12,Waterpolo,0,0,1
Andrea Blas,20,Spain,2012,12/8/12,Waterpolo,0,1,0
Miho Boškovic,29,Croatia,2012,12/8/12,Waterpolo,1,0,0
Victoria Brown,27,Australia,2012,12/8/12,Waterpolo,0,0,1
Ivan Buljubašic,24,Croatia,2012,12/8/12,Waterpolo,1,0,0
Damir Buric,31,Croatia,2012,12/8/12,Waterpolo,1,0,0
Andro Bušlje,26,Croatia,2012,12/8/12,Waterpolo,1,0,0
Kami Craig,25,United States,2012,12/8/12,Waterpolo,1,0,0
Nikša Dobud,26,Croatia,2012,12/8/12,Waterpolo,1,0,0
Annika Dries,20,United States,2012,12/8/12,Waterpolo,1,0,0
Anna Espar,19,Spain,2012,12/8/12,Waterpolo,0,1,0
Laura Ester,22,Spain,2012,12/8/12,Waterpolo,0,1,0
Maurizio Felugo,31,Italy,2012,12/8/12,Waterpolo,0,1,0
Pietro Figlioli,28,Italy,2012,12/8/12,Waterpolo,0,1,0
Filip Filipovic,25,Serbia,2012,12/8/12,Waterpolo,0,0,1
Deni Fiorentini,28,Italy,2012,12/8/12,Waterpolo,0,1,0
Valentino Gallo,27,Italy,2012,12/8/12,Waterpolo,0,1,0
Maica García,21,Spain,2012,12/8/12,Waterpolo,0,1,0
Massimo Giacoppo,29,Italy,2012,12/8/12,Waterpolo,0,1,0
Alex Giorgetti,24,Italy,2012,12/8/12,Waterpolo,0,1,0
Niccolò Gitto,25,Italy,2012,12/8/12,Waterpolo,0,1,0
Živko Gocic,29,Serbia,2012,12/8/12,Waterpolo,0,0,1
Kate Gynther,30,Australia,2012,12/8/12,Waterpolo,0,0,1
Igor Hinic,36,Croatia,2012,12/8/12,Waterpolo,1,0,0
Maro Jokovic,24,Croatia,2012,12/8/12,Waterpolo,1,0,0
Bronwen Knox,26,Australia,2012,12/8/12,Waterpolo,0,0,1
Holly Lincoln-Smith,24,Australia,2012,12/8/12,Waterpolo,0,0,1
Laura López,24,Spain,2012,12/8/12,Waterpolo,0,1,0
Dušan Mandic,18,Serbia,2012,12/8/12,Waterpolo,0,0,1
Courtney Mathewson,25,United States,2012,12/8/12,Waterpolo,1,0,0
Alicia McCormack,29,Australia,2012,12/8/12,Waterpolo,0,0,1
Ona Meseguer,24,Spain,2012,12/8/12,Waterpolo,0,1,0
Lorena Miranda,21,Spain,2012,12/8/12,Waterpolo,0,1,0
Stefan Mitrovic,24,Serbia,2012,12/8/12,Waterpolo,0,0,1
Jane Moran,27,Australia,2012,12/8/12,Waterpolo,0,0,1
Petar Muslim,24,Croatia,2012,12/8/12,Waterpolo,1,0,0
Slobodan Nikic,29,Serbia,2012,12/8/12,Waterpolo,0,0,1
Paulo Obradovic,26,Croatia,2012,12/8/12,Waterpolo,1,0,0
Mati Ortíz,21,Spain,2012,12/8/12,Waterpolo,0,1,0
Jenny Pareja,28,Spain,2012,12/8/12,Waterpolo,0,1,0
Giacomo Pastorino,32,Italy,2012,12/8/12,Waterpolo,0,1,0
Josip Pavic,30,Croatia,2012,12/8/12,Waterpolo,1,0,0
Pilar Peña,26,Spain,2012,12/8/12,Waterpolo,0,1,0
Amaurys Perez,36,Italy,2012,12/8/12,Waterpolo,0,1,0
Heather Petri,34,United States,2012,12/8/12,Waterpolo,1,0,0
Duško Pijetlovic,27,Serbia,2012,12/8/12,Waterpolo,0,0,1
Gojko Pijetlovic,28,Serbia,2012,12/8/12,Waterpolo,0,0,1
Danijel Premuš,31,Italy,2012,12/8/12,Waterpolo,0,1,0
Christian Presciutti,29,Italy,2012,12/8/12,Waterpolo,0,1,0
Andrija Prlainovic,25,Serbia,2012,12/8/12,Waterpolo,0,0,1
Glencora Ralph,24,Australia,2012,12/8/12,Waterpolo,0,0,1
Nikola Raden,27,Serbia,2012,12/8/12,Waterpolo,0,0,1
Mel Rippon,31,Australia,2012,12/8/12,Waterpolo,0,0,1
Kelly Rulon,28,United States,2012,12/8/12,Waterpolo,1,0,0
Aleksa Šaponjic,20,Serbia,2012,12/8/12,Waterpolo,0,0,1
Melissa Seidemann,22,United States,2012,12/8/12,Waterpolo,1,0,0
Sophie Smith,26,Australia,2012,12/8/12,Waterpolo,0,0,1
Slobodan Soro,33,Serbia,2012,12/8/12,Waterpolo,0,0,1
Ash Southern,19,Australia,2012,12/8/12,Waterpolo,0,0,1
Jessica Steffens,25,United States,2012,12/8/12,Waterpolo,1,0,0
Maggie Steffens,19,United States,2012,12/8/12,Waterpolo,1,0,0
Sandro Sukno,22,Croatia,2012,12/8/12,Waterpolo,1,0,0
Roser Tarragó,19,Spain,2012,12/8/12,Waterpolo,0,1,0
Stefano Tempesti,33,Italy,2012,12/8/12,Waterpolo,0,1,0
Vanja Udovicic,29,Serbia,2012,12/8/12,Waterpolo,0,0,1
Frano Vican,36,Croatia,2012,12/8/12,Waterpolo,1,0,0
Brenda Villa,32,United States,2012,12/8/12,Waterpolo,1,0,0
Rowie Webster,24,Australia,2012,12/8/12,Waterpolo,0,0,1
Lauren Wenger,28,United States,2012,12/8/12,Waterpolo,1,0,0
Elsie Windes,27,United States,2012,12/8/12,Waterpolo,1,0,0
Nicola Zagame,22,Australia,2012,12/8/12,Waterpolo,0,0,1
Betsey Armstrong,25,United States,2008,24/08/2008,Waterpolo,0,1,0
Tony Azevedo,26,United States,2008,24/08/2008,Waterpolo,0,1,0
Ryan Bailey,32,United States,2008,24/08/2008,Waterpolo,0,1,0
Gemma Beadsworth,21,Australia,2008,24/08/2008,Waterpolo,0,0,1
Layne Beaubien,32,United States,2008,24/08/2008,Waterpolo,0,1,0
Tibor Benedek,36,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Péter Biros,32,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Brandon Brooks,27,United States,2008,24/08/2008,Waterpolo,0,1,0
Mieke Cabout,22,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Patty Cardenas,23,United States,2008,24/08/2008,Waterpolo,0,1,0
Aleksandar Ciric,30,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Kami Craig,21,United States,2008,24/08/2008,Waterpolo,0,1,0
Nikita Cuffe,28,Australia,2008,24/08/2008,Waterpolo,0,0,1
Daniëlle de Bruijn,30,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Filip Filipovic,21,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Suzie Fraser,19,Australia,2008,24/08/2008,Waterpolo,0,0,1
István Gergely,31,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Živko Gocic,25,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Taniele Gofers,23,Australia,2008,24/08/2008,Waterpolo,0,0,1
Natalie Golda,26,United States,2008,24/08/2008,Waterpolo,0,1,0
Alison Gregorka,23,United States,2008,24/08/2008,Waterpolo,0,1,0
Rianne Guichelaar,24,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Kate Gynther,26,Australia,2008,24/08/2008,Waterpolo,0,0,1
Biurakn Hakhverdian,22,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Brittany Hayes,23,United States,2008,24/08/2008,Waterpolo,0,1,0
Amy Hetzel,25,Australia,2008,24/08/2008,Waterpolo,0,0,1
Jaime Hipp,26,United States,2008,24/08/2008,Waterpolo,0,1,0
Norbert Hosnyánszky,24,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Peter Hudnut,28,United States,2008,24/08/2008,Waterpolo,0,1,0
Tim Hutten,23,United States,2008,24/08/2008,Waterpolo,0,1,0
Tamás Kásás,32,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Gábor Kis,25,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Gergo Kiss,30,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Noeki Klein,25,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Bronwen Knox,22,Australia,2008,24/08/2008,Waterpolo,0,0,1
Emma Knox,30,Australia,2008,24/08/2008,Waterpolo,0,0,1
Simone Koot,27,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
J. W. Krumpholz,20,United States,2008,24/08/2008,Waterpolo,0,1,0
Norbert Madaras,28,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Alicia McCormack,25,Australia,2008,24/08/2008,Waterpolo,0,0,1
Rick Merlo,26,United States,2008,24/08/2008,Waterpolo,0,1,0
Tamás Molnár,33,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Merrill Moses,30,United States,2008,24/08/2008,Waterpolo,0,1,0
Branko Pekovic,29,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Heather Petri,30,United States,2008,24/08/2008,Waterpolo,0,1,0
Duško Pijetlovic,23,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Jeff Powers,28,United States,2008,24/08/2008,Waterpolo,0,1,0
Andrija Prlainovic,21,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Nikola Raden,23,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Bec Rippon,29,Australia,2008,24/08/2008,Waterpolo,0,0,1
Mel Rippon,27,Australia,2008,24/08/2008,Waterpolo,0,0,1
Jenna Santoromito,21,Australia,2008,24/08/2008,Waterpolo,0,0,1
Mia Santoromito,23,Australia,2008,24/08/2008,Waterpolo,0,0,1
Aleksandar Šapic,30,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Dejan Savic,33,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Denis Šefik,31,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Alette Sijbring,26,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Yasemin Smit,23,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Jesse Smith,25,United States,2008,24/08/2008,Waterpolo,0,1,0
Slobodan Soro,29,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Jessica Steffens,21,United States,2008,24/08/2008,Waterpolo,0,1,0
Zoltán Szécsi,30,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Vanja Udovicic,25,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Iefke van Belkum,22,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Gillian van den Berg,36,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Marieke van den Ham,25,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Ilse van der Meijden,19,Netherlands,2008,24/08/2008,Waterpolo,1,0,0
Moriah Van Norman,24,United States,2008,24/08/2008,Waterpolo,0,1,0
Peter Varellas,23,United States,2008,24/08/2008,Waterpolo,0,1,0
Dániel Varga,24,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Dénes Varga,21,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Tamás Varga,33,Hungary,2008,24/08/2008,Waterpolo,1,0,0
Brenda Villa,28,United States,2008,24/08/2008,Waterpolo,0,1,0
Vlada Vujasinovic,34,Serbia,2008,24/08/2008,Waterpolo,0,0,1
Lauren Wenger,24,United States,2008,24/08/2008,Waterpolo,0,1,0
Elsie Windes,23,United States,2008,24/08/2008,Waterpolo,0,1,0
Adam Wright,31,United States,2008,24/08/2008,Waterpolo,0,1,0
Carmela Allucci,34,Italy,2004,29/08/2004,Waterpolo,1,0,0
Alexandra Araujo,32,Italy,2004,29/08/2004,Waterpolo,1,0,0
Dimitra Asilian,32,Greece,2004,29/08/2004,Waterpolo,0,1,0
Roman Balashov,27,Russia,2004,29/08/2004,Waterpolo,0,0,1
Robin Beauregard,25,United States,2004,29/08/2004,Waterpolo,0,0,1
Tibor Benedek,32,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Péter Biros,28,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Silvia Bosurgi,25,Italy,2004,29/08/2004,Waterpolo,1,0,0
Revaz Chomakhidze,30,Russia,2004,29/08/2004,Waterpolo,0,0,1
Aleksandar Ciric,26,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Francesca Conti,32,Italy,2004,29/08/2004,Waterpolo,1,0,0
Tania Di Mario,25,Italy,2004,29/08/2004,Waterpolo,1,0,0
Margaret Dingeldein,24,United States,2004,29/08/2004,Waterpolo,0,0,1
Georgia Ellinaki,30,Greece,2004,29/08/2004,Waterpolo,0,1,0
Ellen Estes,25,United States,2004,29/08/2004,Waterpolo,0,0,1
Aleksandr Fedorov,23,Russia,2004,29/08/2004,Waterpolo,0,0,1
Rajmund Fodor,28,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Jacqueline Frank,24,United States,2004,29/08/2004,Waterpolo,0,0,1
Sergey Garbuzov,30,Russia,2004,29/08/2004,Waterpolo,0,0,1
István Gergely,27,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Elena Gigli,19,Italy,2004,29/08/2004,Waterpolo,1,0,0
Vladimir Gojkovic,23,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Natalie Golda,22,United States,2004,29/08/2004,Waterpolo,0,0,1
Dmitry Gorshkov,37,Russia,2004,29/08/2004,Waterpolo,0,0,1
Melania Grego,31,Italy,2004,29/08/2004,Waterpolo,1,0,0
Danilo Ikodinovic,27,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Viktor Jelenic,33,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Predrag Jokic,21,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Eftykhia Karagianni,30,Greece,2004,29/08/2004,Waterpolo,0,1,0
Angeliki Karapataki,29,Greece,2004,29/08/2004,Waterpolo,0,1,0
Tamás Kásás,28,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Gergo Kiss,26,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Nikolay Kozlov,32,Russia,2004,29/08/2004,Waterpolo,0,0,1
Voula Kozomboli,30,Greece,2004,29/08/2004,Waterpolo,0,1,0
Georgia Lara,24,Greece,2004,29/08/2004,Waterpolo,0,1,0
Kiki Liosi,24,Greece,2004,29/08/2004,Waterpolo,0,1,0
Ericka Lorenz,23,United States,2004,29/08/2004,Waterpolo,0,0,1
Norbert Madaras,24,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Nikolay Maksimov,31,Russia,2004,29/08/2004,Waterpolo,0,0,1
Giusi Malato,33,Italy,2004,29/08/2004,Waterpolo,1,0,0
Antiopi Melidoni,26,Greece,2004,29/08/2004,Waterpolo,0,1,0
Martina Miceli,30,Italy,2004,29/08/2004,Waterpolo,1,0,0
Tamás Molnár,29,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Heather Moody,30,United States,2004,29/08/2004,Waterpolo,0,0,1
Tonia Moraiti,27,Greece,2004,29/08/2004,Waterpolo,0,1,0
Evi Moraitidou,29,Greece,2004,29/08/2004,Waterpolo,0,1,0
Thalia Munro,22,United States,2004,29/08/2004,Waterpolo,0,0,1
Maddalena Musumeci,28,Italy,2004,29/08/2004,Waterpolo,1,0,0
Anthi Mylonaki,20,Greece,2004,29/08/2004,Waterpolo,0,1,0
Slobodan Nikic,21,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Katerina Oikonomopoulou,26,Greece,2004,29/08/2004,Waterpolo,0,1,0
Heather Petri,26,United States,2004,29/08/2004,Waterpolo,0,0,1
Cinzia Ragusa,27,Italy,2004,29/08/2004,Waterpolo,1,0,0
Andrey Rekechinsky,23,Russia,2004,29/08/2004,Waterpolo,0,0,1
Antigoni Roumbesi,21,Greece,2004,29/08/2004,Waterpolo,0,1,0
Kelly Rulon,20,United States,2004,29/08/2004,Waterpolo,0,0,1
Aleksandar Šapic,26,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Dejan Savic,29,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Denis Šefik,27,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Amber Stachowski,21,United States,2004,29/08/2004,Waterpolo,0,0,1
Ádám Steinmetz,24,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Barnabás Steinmetz,28,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Dmitry Stratan,29,Russia,2004,29/08/2004,Waterpolo,0,0,1
Zoltán Szécsi,26,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Noémi Tóth,28,Italy,2004,29/08/2004,Waterpolo,1,0,0
Petar Trbojevic,30,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Vanja Udovicic,21,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Tamás Varga,29,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Attila Vári,28,Hungary,2004,29/08/2004,Waterpolo,1,0,0
Brenda Villa,24,United States,2004,29/08/2004,Waterpolo,0,0,1
Vlada Vujasinovic,31,Serbia and Montenegro,2004,29/08/2004,Waterpolo,0,1,0
Aleksandr Yeryshov,31,Russia,2004,29/08/2004,Waterpolo,0,0,1
Vitaly Yurchik,21,Russia,2004,29/08/2004,Waterpolo,0,0,1
Marat Zakirov,30,Russia,2004,29/08/2004,Waterpolo,0,0,1
Emanuela Zanchi,26,Italy,2004,29/08/2004,Waterpolo,1,0,0
Irek Zinnurov,35,Russia,2004,29/08/2004,Waterpolo,0,0,1
Marina Akobiya,25,Russia,2000,1/10/00,Waterpolo,0,0,1
Yekaterina Anikeyeva,31,Russia,2000,1/10/00,Waterpolo,0,0,1
Roman Balashov,23,Russia,2000,1/10/00,Waterpolo,0,1,0
Robin Beauregard,21,United States,2000,1/10/00,Waterpolo,0,1,0
Tibor Benedek,28,Hungary,2000,1/10/00,Waterpolo,1,0,0
Péter Biros,24,Hungary,2000,1/10/00,Waterpolo,1,0,0
Naomi Castle,26,Australia,2000,1/10/00,Waterpolo,1,0,0
Revaz Chomakhidze,26,Russia,2000,1/10/00,Waterpolo,0,1,0
Aleksandar Ciric,22,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Dmitry Dugin,32,Russia,2000,1/10/00,Waterpolo,0,1,0
Ellen Estes,21,United States,2000,1/10/00,Waterpolo,0,1,0
Rajmund Fodor,24,Hungary,2000,1/10/00,Waterpolo,1,0,0
Joanne Fox,21,Australia,2000,1/10/00,Waterpolo,1,0,0
Sergey Garbuzov,26,Russia,2000,1/10/00,Waterpolo,0,1,0
Dmitry Gorshkov,33,Russia,2000,1/10/00,Waterpolo,0,1,0
Bridgette Gusterson,27,Australia,2000,1/10/00,Waterpolo,1,0,0
Simone Hankin,27,Australia,2000,1/10/00,Waterpolo,1,0,0
Yvette Higgins,22,Australia,2000,1/10/00,Waterpolo,1,0,0
Kate Hooper,22,Australia,2000,1/10/00,Waterpolo,1,0,0
Danilo Ikodinovic,23,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Viktor Jelenic,29,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Courtney Johnson,26,United States,2000,1/10/00,Waterpolo,0,1,0
Tamás Kásás,24,Hungary,2000,1/10/00,Waterpolo,1,0,0
Gergo Kiss,23,Hungary,2000,1/10/00,Waterpolo,1,0,0
Sofiya Konukh,20,Russia,2000,1/10/00,Waterpolo,0,0,1
Mariya Korolyova,25,Russia,2000,1/10/00,Waterpolo,0,0,1
Zoltán Kósz,32,Hungary,2000,1/10/00,Waterpolo,1,0,0
Nikolay Kozlov,28,Russia,2000,1/10/00,Waterpolo,0,1,0
Nikola Kuljaca,26,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Nataliya Kutuzova,25,Russia,2000,1/10/00,Waterpolo,0,0,1
Svetlana Kuzina,25,Russia,2000,1/10/00,Waterpolo,0,0,1
Ericka Lorenz,19,United States,2000,1/10/00,Waterpolo,0,1,0
Nikolay Maksimov,27,Russia,2000,1/10/00,Waterpolo,0,1,0
Tamás Märcz,26,Hungary,2000,1/10/00,Waterpolo,1,0,0
Bronwyn Mayer-Smith,26,Australia,2000,1/10/00,Waterpolo,1,0,0
Gail Miller,23,Australia,2000,1/10/00,Waterpolo,1,0,0
Melissa Mills,26,Australia,2000,1/10/00,Waterpolo,1,0,0
Tamás Molnár,25,Hungary,2000,1/10/00,Waterpolo,1,0,0
Heather Moody,27,United States,2000,1/10/00,Waterpolo,0,1,0
Mo O'Toole,39,United States,2000,1/10/00,Waterpolo,0,1,0
Bernice Orwig,23,United States,2000,1/10/00,Waterpolo,0,1,0
Nicolle Payne,24,United States,2000,1/10/00,Waterpolo,0,1,0
Heather Petri,22,United States,2000,1/10/00,Waterpolo,0,1,0
Tatyana Petrova,27,Russia,2000,1/10/00,Waterpolo,0,0,1
Yuliya Petrova,21,Russia,2000,1/10/00,Waterpolo,0,0,1
Galina Rytova,25,Russia,2000,1/10/00,Waterpolo,0,0,1
Aleksandar Šapic,22,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Dejan Savic,25,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Kathy Sheehy,30,United States,2000,1/10/00,Waterpolo,0,1,0
Coralie Simmons,23,United States,2000,1/10/00,Waterpolo,0,1,0
Yelena Smurova,26,Russia,2000,1/10/00,Waterpolo,0,0,1
Aleksandar Šoštar,36,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Barnabás Steinmetz,24,Hungary,2000,1/10/00,Waterpolo,1,0,0
Dmitry Stratan,25,Russia,2000,1/10/00,Waterpolo,0,1,0
Julie Swail-Ertel,27,United States,2000,1/10/00,Waterpolo,0,1,0
Zoltán Szécsi,22,Hungary,2000,1/10/00,Waterpolo,1,0,0
Bulcsú Székely,24,Hungary,2000,1/10/00,Waterpolo,1,0,0
Yelena Tokun,26,Russia,2000,1/10/00,Waterpolo,0,0,1
Irina Tolkunova,29,Russia,2000,1/10/00,Waterpolo,0,0,1
Petar Trbojevic,27,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Veljko Uskokovic,29,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Zsolt Varga,28,Hungary,2000,1/10/00,Waterpolo,1,0,0
Attila Vári,24,Hungary,2000,1/10/00,Waterpolo,1,0,0
Yekaterina Vasilyeva,24,Russia,2000,1/10/00,Waterpolo,0,0,1
Jugoslav Vasovic,26,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Brenda Villa,20,United States,2000,1/10/00,Waterpolo,0,1,0
Vlada Vujasinovic,27,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Nenad Vukanic,26,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Debbie Watson,34,Australia,2000,1/10/00,Waterpolo,1,0,0
Liz Weekes,28,Australia,2000,1/10/00,Waterpolo,1,0,0
Danielle Woodhouse,31,Australia,2000,1/10/00,Waterpolo,1,0,0
Taryn Woods,25,Australia,2000,1/10/00,Waterpolo,1,0,0
Yury Yatsev,21,Russia,2000,1/10/00,Waterpolo,0,1,0
Aleksandr Yeryshov,27,Russia,2000,1/10/00,Waterpolo,0,1,0
Marat Zakirov,26,Russia,2000,1/10/00,Waterpolo,0,1,0
Predrag Zimonjic,29,Serbia and Montenegro,2000,1/10/00,Waterpolo,0,0,1
Irek Zinnurov,31,Russia,2000,1/10/00,Waterpolo,0,1,0
,,Brazil,2012,12/8/12,Volleyball,0,1,0
,,Brazil,2012,12/8/12,Volleyball,0,1,0
,,Brazil,2012,12/8/12,Volleyball,0,1,0
Foluke Akinradewo,24,United States,2012,12/8/12,Volleyball,0,1,0
Thiago Alves,26,Brazil,2012,12/8/12,Volleyball,0,1,0
Nikolay Apalikov,29,Russia,2012,12/8/12,Volleyball,1,0,0
Erika Araki,27,Japan,2012,12/8/12,Volleyball,0,0,1
